"id"|"position"|"title"|"date"|"category"|"social_id"|"html_description"|"html_short_description"|"html_link"|"visible"|"created_at"|"updated_at"
"18"|"10"|"Omaggio alla Madonna della Ghiara"|"2019-11-08"|"NEWS"|NULL|"<p>Venerdì 8 novembre alle ore 21 nel teatro della parrocchia di San Pietro a Reggio Emilia il Centro culturale ""Blaise Pascal"" promuove la presentazione del libro di Rita Coruzzi ""Madonna della Ghiara, la Regina della mia città"" (Edizioni San Lorenzo). Sarà un dialogo con l'autrice, l'amica Rita Coruzzi, tra arte, spiritualità e testimonianza.</p>"|"<p>Con la scrittrice Rita Coruzzi parliamo della Regina di Reggio</p>"|NULL|"1"|"2019-12-21 16:17:00"|"2019-12-21 20:30:14"
"19"|"11"|"Di luci e di ombre in musica"|"2019-10-25"|"NEWS"|"5"|"<p>La presentazione del libro ""Di luci e di ombre"" di Massimo Camisasca e Edoardo Tincani, avvenuta nella cripta della Cattedrale di Reggio Emilia la sera del 2 maggio 2019, con la partecipazione delle classi di canto dell'Istituto Diocesano di Musica e Liturgia (IDML) ""Don Luigi Guglielmi"" dirette da Sara Fornaciari, l'accompagnamento musicale di Nadia Torreggiani, Benedetta Polimeni e Silvia Sciolla e gli interventi di Matteo e Anna Orlandini, oltre che degli autori del volume, è disponibile su YouTube. Le immagini sono state girate da Andrea Boni e Daniele Sozzi.</p>"|"<p>Su YouTube il video integrale della serata del 2 maggio 2019</p>"|"<p><a href=""https://www.youtube.com/watch?v=s4xiO31cOWw&amp;t=725s"" target=""_blank"">Il video della presentazione di ""Di luci e di ombre"" nella cripta del Duomo</a></p>"|"1"|"2019-12-21 16:19:22"|"2019-12-21 20:30:14"
"20"|"12"|"Sull'arte difficile dell'educare"|"2019-10-27"|"NEWS"|NULL|"<p>L'edizione del mensile ""NOI Famiglia &amp; Vita"" in uscita con Avvenire domenica 27 ottobre 2019 riporta, alle pagine 36 e 37, un estratto del capitolo sull'Educazione del libro ""Di luci e di ombre"", selezionato a cura del caporedattore Luciano Moia. ""Il compito dell'educatore è un'avventura continua, mai conclusa. Dobbiamo appoggiarci alle persone che sanno guardare verso la luce"", si legge nel sommario.</p>"|"<p>""Di luci e di ombre"" nel mensile di Avvenire</p>"|NULL|"1"|"2019-12-21 16:23:14"|"2019-12-21 20:30:14"
"21"|"13"|"Halloween e i morti"|"2019-10-29"|"EDOTORIALE"|"1"|"<p class=""ql-align-justify""><em>Trick or treat</em>? Scherzetto o dolcetto? Il mercato ha ormai imposto questa domanda all’attenzione dei consumatori globali, trascinando con sé rituali e travestimenti fino a vent’anni fa inusitati nel nostro Paese. E così ogni fine ottobre, nelle famiglie italiane, torna un interrogativo previo: vietare o lasciar correre? Un interrogativo che i genitori cristiani sentono talvolta più pungente, per la banalizzazione della morte e lo scippo delle feste di questo periodo che Halloween porta con sé, sebbene fin dall’origine del nome - derivante da <em>All Hallow’s Eve</em>, cioè “vigilia di tutti i Santi” - risuoni esplicito il riferimento alla celebrazione della Chiesa trionfante che, almeno dal 731, è collocata al 1° novembre. Ma quel richiamo originario si è paganizzato e corrotto fino a rendere irriconoscibile il volto religioso della ricorrenza.</p><p class=""ql-align-justify"">È quasi impossibile blindare la mente dei figli da ciò che la cultura dominante ha sdoganato con tanto entusiasmo. Piuttosto che opporre silenzi risentiti o dinieghi assoluti, perché allora non approfittare del carnevale delle zucche per tramandare alle nuove generazioni il senso delle nostre feste, quelle cristiane? Possediamo una verità, non una leggenda, da comunicare loro. </p><p class=""ql-align-justify"">La censura non paga, anzi rischia di scatenare un interesse ancor più morboso. Intendiamoci: è giusto diffidare di Halloween se la “festa” dà troppa confidenza con il macabro, l’occulto, lo spiritismo, la superstizione, tanto più se diamo credito – e in questo campo sì che non c’è da scherzare – all’idea che dietro il suo apparato scenografico si nasconda il potere delle lobby esoteriche. Il più delle volte, però, le richieste dei figli sono innocenti. E l’usanza di passare in cerca di bon-bon per le case del quartiere o le scale del condominio - scortati da adulti, certo - può perfino risultare gradita a qualche vicino solo.</p><p class=""ql-align-justify"">Setacciare il “buono” e il “cattivo” di questa tradizione non più estranea alla nostra società, pertanto, è già un primo lavoro educativo che si può utilmente sbrigare in famiglia. Ma per i genitori cristiani c’è un altro aspetto essenziale da salvaguardare: la proposta alternativa, che in questo caso significa riandare alla certezza dell’eternità.</p><p class=""ql-align-justify"">Sarebbe comunque una resa lasciare in mano ai venditori di cadaverini e maschere horror il pallino di “spiegare” ai nostri figli il significato della morte. E proprio qui che non possiamo non accompagnarli. A chi giova bandire lo <em>zombie</em> di Halloween se si ha paura di andare insieme al cimitero? Che senso ha che i bambini imparino a memoria i nomi di tutti i “signori delle tenebre” che compaiono su giocattoli e carte magiche, se non sanno ricordare quelli dei loro parenti che riposano in attesa della Risurrezione del corpo?</p><p class=""ql-align-justify"">Non siamo talora proprio noi, adulti battezzati, i primi refrattari a parlare di croci, trapassi e anime in attesa del Paradiso? Altro che “poverini, i piccoli s’impressionano”… Ben venga allora Halloween se dà occasione per vivere la Commemorazione dei defunti in modo meno superficiale. Bambini e ragazzi devono sapersi innestati nella catena “sacra” di generazioni che ci ha preceduto.</p><p class=""ql-align-justify"">In questo viaggio, Cristo ha poteri e misteri di gran lunga più stupefacenti di Jack della Lanterna. Facciamoglielo scoprire.</p>"|"<p>Ha più poteri Cristo o Jack della Lanterna?</p>"|"<p><br></p>"|"1"|"2019-12-21 16:27:18"|"2019-12-24 12:22:20"
"22"|"15"|"Chi ci ha rubato il silenzio?"|"2019-11-05"|"EDOTORIALE"|"1"|"<p>Al di là della complessità e della frammentazione valoriale della nostra epoca, il dato costante è il brusio di fondo nel quale siamo immersi, a cui contribuiscono i <em>media</em>, vecchi e nuovi, ma pure il nostro stile di vita. Non solo non ci meraviglia più il silenzio, così raro da trovare, ma non ci stupisce neanche l’assenza di silenzio, che diamo per scontata.</p><p>Il silenzio che manca non è neppure tanto quello puramente “sonoro”, ad esempio l’inquinamento acustico provocato dai figli allorché, rincasati da scuola e quasi subito catapultati a tavola, danno la stura ai sentimenti e ai vocaboli repressi durante la mattinata e sovrappongono la loro voce agli sfoghi dei fratelli (ma questo, a ben pensarci, è un rumore “costruttivo”, in cui ciascuno tenta di ritagliare uno spazio per la comunicazione di sé e riceve <em>input</em> e messaggi disparati dagli altri).</p><p>Invece a spaventarmi è l’assenza di silenzio interiore, quel silenzio che permette di conoscere in primo luogo se stessi, poi l’altro e infine il mistero della vita, con le sue domande e la sua magnificenza seminascosta.</p><p>Con la comunicazione digitale, oltretutto, il tempo viene vissuto più intensamente e tende quasi a contrarsi, perché la velocità della chat, riducendo i tempi di risposta, compromette anche la capacità di attendere e quella di stare da soli, rendendoci noi tutti più compulsivi.</p><p>A oscurare la bellezza del silenzio sono il consumismo di immagini, il voyeurismo di massa, i programmi <em>trash</em>, il chiacchiericcio petulante che in fondo ci dà una rappresentazione stereotipata o parodiata dell’esistenza. Addebitare la fine del silenzio alle sollecitazioni che provengono dall’esterno, tuttavia, significa riconoscere solo parzialmente lo scoglio senza andare alla radice dell’iceberg, che risiede nella volontà di conservare aperti quanti più canali comunicativi possibile, contagiati dalle smanie di <em>multitasking</em> che illudono di avvicinare a mondi ben più giovani.</p><p>Siamo perennemente distratti da altro, concentrati su tante immagini e su nessuna in particolare. La capacità di staccare la mente, di spegnere i rumori di fondo, per cui io sia padrone di concentrarmi su una sola cosa, fosse anche il riposo, oppure l’ascolto non cronometrato di un mio simile, si sta affievolendo. È questa capacità che va recuperata, non solo per rifuggire ogni tanto il caos e accogliere un volontario silenzio, ma anche per restituire stupore ai sensi.</p><p>Coltivare e “ascoltare il silenzio” toglie opacità allo sguardo abitudinario, i tappi di noia alle orecchie, il marchio del qualunquismo alla nostra originalità di creature uniche e irripetibili.</p>"|"<p>Troppi rumori di fondo, così si perde il mistero</p>"|"<p class=""ql-align-justify""><br></p>"|"1"|"2019-12-21 16:32:36"|"2019-12-21 19:07:23"
"23"|"13"|"Concerto con Daniele Semprini"|"2019-11-16"|"NEWS"|"1"|"<p class=""ql-align-justify"">Quest’anno mi sono rimesso a pensare musicalmente e ho scritto le parole di nuove canzoni. L’impronta è più cantautorale e i temi affrontati sono diversi; per un testo, intitolato “Libertà” - nessun riferimento al giornale diocesano! - ho immaginato anche la veste sonora, ma negli altri casi mi sono rivolto ad amici musicisti e compositori. Li considero “Compagni di viaggio”, come recita il titolo di un’altra delle nuove canzoni. “Compagni di viaggio” dà anche il nome all’ensemble musicale che accompagnerà il concerto. La maggior parte dei testi, che ho scritto nell’estate appena trascorsa, è stata messa in musica grazie al recente incontro con Daniele Semprini: mi hanno colpito la disponibilità fuori dal comune e la sua significativa esperienza della musica cristiana. Ho così conosciuto l’autore di canti che hanno segnato, e ancora caratterizzano, tante liturgie vissute in parrocchia, come “Preghiera a Maria”, “Dio ha visitato il suo popolo”, a ""Camminiamo incontro al Signore"".</p><p class=""ql-align-justify"">Il progetto “Due voci un canto”, che porteremo prossimamente a Reggio Emilia, è nato proprio dall’entusiasmo di questo incontro e dalla benevolenza del Centro culturale “Blaise Pascal”, che già aveva appoggiato il concerto “E con questa vita Ti canto” tre anni fa a Regina Pacis. Daniele e io canteremo ognuno un po’ delle proprie canzoni, e duetteremo, anche. Tra i canti che Semprini ha musicato con le mie parole, uno tratta del matrimonio e un altro di Reggio Emilia, la città in cui sono nato e vivo. Sono curioso di iniziare questo nuovo viaggio in musica!</p><p><br></p>"|"<p>Due voci un canto, prossimamente a Reggio</p>"|"<p><br></p>"|"1"|"2019-12-21 16:34:43"|"2020-01-21 13:13:29"
"24"|"14"|"Il bene dell'informazione diocesana"|"2019-11-21"|"NEWS"|"1"|"<p>La Fisc (Federazione Italiana Settimanali Cattolici) è una variegata e vivace famiglia: riunisce le testate delle Diocesi italiane, piccole e grandi, con alcuni giornali quotidiani, tanti settimanali e diversi altri periodici. Dal 21 al 23 novembre 2019 si tiene a Roma l'assemblea nazionale elettiva. Reggio Emilia-Guastalla, con il suo giornale storico (dal 1952) ""La Libertà"", è presente per portare la sua esperienza e arricchirsi nel confronto con le altre redazioni, dal Nord al Sud, isole comprese. La Chiesa è comunione e comunicazione.</p>"|"<p>Assemblea nazionale elettiva della FISC</p>"|"<p><br></p>"|"1"|"2019-12-21 16:38:38"|"2020-01-21 13:13:29"
"25"|"15"|"Un quadriennio per la FISC"|"2019-11-25"|"NEWS"|"3"|"<p>Dal 21 al 23 novembre 2019 a Roma si è riunita la Federazione Italiana Settimanali Cattolici (FISC) per la sua XIX Assemblea nazionale elettiva. La FISC è una famiglia a cui, come direttore responsabile de ""La Libertà"" di Reggio Emilia-Guastalla, appartengo da diversi anni; la vita associativa permette di confrontarsi con altre esperienze e di affrontare con più senso di solidarietà e visione prospettica le sfide di cui il lavoro di giornalisti è disseminato. In questa occasione avevo espresso alla mia Delegazione regionale, guidata da don Davide Maloberti (""Il Nuovo Giornale"" di Piacenza), la disponibilità all'eventuale elezione in Consiglio nazionale, in spirito di servizio e anche per un certo debito di gratitudine accumulato nel tempo per la Federazione. L'esito delle votazioni ha accolto questa disponibilità, per il quadriennio 2020/2023. </p><p>I risultati completi delle elezioni. Per la circoscrizione Nord-Ovest: Marco Gervino (Il Letimbro - Savona) con 62 voti, Walter Lamberti (La fedeltà - Fossano) con 42 voti, Maria Grazia Olivero (Gazzetta d’Alba&nbsp;- Alba) con 29 voti. Per la circoscrizione Nord-Est: Mauro Ungaro (Voce Isontina - Gorizia) con 64 voti, Giulio Donati (Il Piccolo - Faenza-Modigliana) con 39 voti,&nbsp;Edoardo Tincani (La Libertà -&nbsp;Reggio Emilia-Guastalla) con 34 voti. Per la circoscrizione Centro: Beatrice Testadiferro (Voce della Vallesina - Jesi) con 50 voti, don Alessandro Paone (Millestrade - Albano e LazioSette) con 42 voti. Per la circoscrizione Sud: don Davide Imeneo (L’avvenire di Calabria - Reggio Calabria) con 69 voti, Marilisa Della Monica (L’amico del Popolo - Agrigento) con 50 voti.&nbsp;Eletti oltre le circoscrizioni: Mariangela Parisi (In dialogo - Nola) con 45 voti, Ezio Bernardi (La Guida - Cuneo) e Sabrina Penteriani (Sant’Alessandro.org - Bergamo) con 37 voti, Lauro Paoletto (La Voce dei Berici - Vicenza) e Riccardo Losappio (In comunione - Trani) con 30 voti, Jurij Palik (Novi Glas - Gorizia) con 28 voti.&nbsp;I votanti sono stati 136, 2 le schede bianche.</p><p>Nel Consiglio nazionale, oltre agli eletti, siederanno anche i delegati regionali: Chiara Genisio (Piemonte), don Giorgio Zucchelli (Lombardia), don Alessio Magoga (Triveneto), don Davide Maloberti (Emilia Romagna), Domenico Mugnaini (Toscana), Simone Incicco (Marche), Mario Manini (Umbria), don Claudio Tracanna (Abruzzo e Molise), Angelo Zema (Lazio), don Oronzo Marraffa (Puglia), don Enzo Gabrieli (Calabria), don Doriano Vincenzo De Luca (Campania), Giuseppe Vecchio (Sicilia), Giampaolo Atzei (Sardegna), Raffaele Iaria (delegazione Estera).</p><p>Del Comitato tecnico consultivo per il quadriennio 2020/2023 faranno invece parte&nbsp;Luciano&nbsp;D’Amato (eletto con 40 voti),&nbsp;Sergio Criveller (26) e&nbsp;Roberto Giuglard (23).</p>"|"<p>Settimanali cattolici: rinnovato il Consiglio nazionale</p>"|"<p><a href=""https://www.instagram.com/p/B5NPzfaIPdc/"" target=""_blank"">Nel Consiglio nazionale della FISC (Settimanali diocesani)</a></p>"|"1"|"2019-12-21 16:57:34"|"2020-01-21 13:13:29"
"26"|"16"|"Come i personaggi del presepe"|"2019-12-02"|"NEWS"|"1"|"<p>La dolcezza della Madonna della Ghiara traspare dal dipinto anonimo ad olio su rame, di probabile scuola del Carracci, che accoglie i visitatori in Battistero. Si rimane quasi incantati a guardarla. Lei, venerata come Regina di tutti i santi, abbraccia idealmente gli altri protagonisti dell’esposizione di presepi realizzata anche quest’anno dalla Diocesi con il fondamentale aiuto dell’associazione Presenza: san Benedetto da Norcia, il venerabile Carlo Acutis, il beato Rolando Rivi, i pastorelli di Fatima, san Riccardo Pampuri. </p><p>Il presepe più originale, teologicamente parlando, è forse quello realizzato sulla scena evangelica della Visitazione di Maria a Elisabetta, due gestanti: il Bambino c’è già, è nel grembo della Beata Vergine, accolto da Giovanni il Battista. Ma entrando nella stanza dedicata al Santuario di Loreto, si capisce che la storia dell’uomo inizia a cambiare ancora prima, dall’Annunciazione e da quell’alma chiesa che fu camera della casa di Maria santissima. Il percorso espositivo interroga la fede, prima di tutto, e restituisce la serenità della contemplazione al nostro tempo sempre agitato.</p><p>La domanda più efficace, in fondo, è quella che s’incontra scritta su un cartello a parete, a un certo punto, e che è stata riprodotta anche nell’agile fascicolo sul presepe destinato ai fanciulli e alla loro fantasia: “…ti accorgi che tra i personaggi c’è chi è per strada, chi è ancora dentro casa affaccendato, chi volge lo sguardo al cielo sorpreso da un segno, chi sta dormendo e non si accorge di nulla. E tu, che stai allestendo il Presepe o che lo stai guardando, proprio tu, che personaggio sei?”.</p><p>I presepi “dei Santi e dei Santuari” proposti quest’anno sono di vari materiali, dalle pietre colorate “a raku” della Baviera alla terracotta con abiti in tessuto inamidato realizzata da Angela Tripi, dalla porcellana di Fontanellato alla cartapesta e al gesso; dall’abbazia di Montecassino è arrivato un presepe settecentesco, scarabattola originale decorata a finto marmo e fregi a foglia d’oro.</p><p>Tra distrazioni da Black Friday e corse cronometrate, vale la pena fissarsi su ciò che è davvero essenziale: che si tratti di persone che hanno vissuto o vivono santamente, o di oratori e santuari in cui il popolo di Dio si reca pellegrino oggi come secoli or sono, niente come la Natività ci svela il significato più profondo della nostra vita.</p>"|"<p>Invito alla mostra nel Battistero di Reggio Emilia</p>"|"<p><br></p>"|"1"|"2019-12-21 17:08:01"|"2020-01-21 13:13:29"
"27"|"20"|"Avvento ovvero..."|"2019-12-07"|"EDOTORIALE"|"3"|"<p>“Tra meno di un mese è già Natale”. Probabilmente abbiamo già pronunciato una frase del genere, o l’abbiamo sentita dire intorno a noi. È un modo di attendere senza darsi il tempo dell’attesa. Così anche l’Avvento, attesa del Natale per definizione, rischia di non avere niente di cristiano da dire (come del resto il Natale, ridotto ad inconcludente baldoria in assenza del Festeggiato).</p><p>La stessa parola, attesa, si è svalutata. Un po’ sarà colpa dell’epoca del “tutto e subito”. Ma è anche l’abitudine mentale ad associarla a qualcosa di noioso – come una coda in automobile o allo sportello – oppure di snervante, di ansioso, di vano. A che serve aspettare, se oggi sono in grado di conoscere quello che succede in tempo reale? Internet mi porta il mondo in casa, i viaggi “all inclusive” mi danno il sole e la neve quando ne ho voglia. </p><p>Quanto facilmente anche il cristiano deraglia dal senso dell’Avvento e del Natale che, scriveva un noto liturgista reggiano, monsignor Guerrino Orlandini, “costituiscono una <em>unità liturgica</em>, perché unico è il mistero in essi celebrato, il mistero del Dio che viene: mistero che acquista pienezza di significato alla luce della Pasqua, ‘culmine e fonte’ di tutto l’Anno liturgico”. Così il tempo di Avvento “ha una <em>duplice tensione</em>. È tempo di preparazione al Natale in cui si ricorda e si celebra la prima venuta del Figlio di Dio fra gli uomini, e contemporaneamente tempo di attesa della seconda – e definitiva – venuta del Signore”.</p><p>Cristo è venuto veramente nella storia, verrà nella gloria alla fine del tempo, ma chiede di venire anche ora nella vicenda umana. È qui il valore di “attesa vigilante” di cui le Scritture sono pervase.</p><p class=""ql-align-justify"">Come rendere “vita” ciò che la liturgia insegna con tanta chiarezza? Proviamo ad accogliere come “consiglio” quello che un’altra voce profetica della nostra Chiesa, don Giuseppe Dossetti, dettò come “Piccola regola” ai monaci della Piccola Famiglia dell’Annunziata più di mezzo secolo fa. Egli definiva il <em>silenzio interiore</em> come “progressivo venir meno di ogni fantasia, di ogni programma, di ogni apprensione per il futuro, di ogni pensiero non richiesto dal dovere immediato”, come un dono da custodire “in ogni ora, ambiente e circostanza, con la mansuetudine, la mortificazione della curiosità, la riduzione abituale delle cose che verrebbe spontaneo dire, la rinuncia a parlare di sé, la preferenza progressiva per le parole e i concetti più semplici, più sereni e più pacificanti”.</p><p class=""ql-align-justify"">L’attesa del Natale di Gesù non resti allora un esercizio della memoria ma un tempo reale, di conversione, di vera attesa del Regno di Dio nella giornata terrena. Un tempo interiore lungo, sottratto dalle angosce del tg o dall’industria del divertimento coatto.</p><p>Con la tensione spirituale dell’amato del Cantico dei cantici, o della sentinella che pre-vede l’alba, o della gestante che parla al nascituro: “nell’attesa della sua venuta”.</p>"|"<p>Una riflessione sul senso dell'attesa del Natale cristiano</p>"|"<p><a href=""https://www.instagram.com/p/B5yNdrGIoWr/"" target=""_blank"">Riflettendo sul senso dell'attesa del Natale di Cristo</a></p>"|"1"|"2019-12-21 17:13:57"|"2019-12-24 15:04:50"
